date,max_temp,max_temp1,max_temp2,location,mean_temp,mean_temp1,mean_temp2,min_temp,min_temp1,min_temp2,dew_point,dew_point1,dew_point2,precipitation,precipitation1,precipitation2,wind,wind1,wind2,density_per_km,airport_dist_any,airport_dist_large,mosquito_dist,zika_cases
2016-06-04,36.0,95.0,94.0,Mexico-Guerrero,29.0,84.0,83.0,23.0,74.0,72.0,24.0,76.0,76.0,44.96,0.0,0.0,7.0,5.0,5.0,29.28565788269043,0.5090270397815225,0.5090270397815225,0.016628203381519078,1
2016-06-04,31.0,88.0,87.0,Colombia-Santander-San_Andres,28.0,84.0,85.0,26.0,80.0,82.0,26.0,79.0,79.0,3.05,0.08,0.0,5.0,7.0,12.0,3573.1337890625,0.0015315121277800208,17.472448437127795,9.431652133927765,1
2016-06-04,31.0,88.0,87.0,Colombia-San_Andres-San_Andres,28.0,84.0,85.0,26.0,80.0,82.0,26.0,79.0,79.0,3.05,0.08,0.0,5.0,7.0,12.0,3573.1337890625,0.0015315121277800208,17.472448437127795,9.431652133927765,1
2016-06-04,31.0,88.0,87.0,Colombia-San_Andres,28.0,84.0,85.0,26.0,80.0,82.0,26.0,79.0,79.0,3.05,0.08,0.0,5.0,7.0,12.0,3573.1337890625,0.0015315121277800208,17.472448437127795,9.431652133927765,0
2016-06-04,14.0,59.0,56.0,Argentina-Buenos_Aires,12.0,55.0,52.0,10.0,51.0,49.0,9.0,49.0,44.0,10.66,0.28,0.08,14.0,8.0,7.0,12625.80078125,0.0031828711961701074,0.07151369279617309,0.008009055596170215,0
2016-06-04,14.0,59.0,56.0,Argentina-CABA,12.0,55.0,52.0,10.0,51.0,49.0,9.0,49.0,44.0,10.66,0.28,0.08,14.0,8.0,7.0,12625.80078125,0.0031828711961701074,0.07151369279617309,0.008009055596170215,0
2016-06-04,37.0,97.0,97.0,Brazil-Mato_Grosso,29.0,84.0,85.0,22.0,71.0,72.0,22.0,70.0,73.0,0.0,0.0,0.0,4.0,4.0,3.0,0.1857762336730957,8.593516994790434,91.20832890879045,0.10780195719044247,1
2016-06-04,33.0,93.0,91.0,Mexico-Aguascalientes,24.0,75.0,73.0,16.0,58.0,54.0,4.0,33.0,31.0,0.0,0.0,0.08,10.0,5.0,5.0,7810.2490234375,0.03283145172173019,2.897709681121747,1.5684827693217334,0
2016-06-04,28.0,82.0,84.0,Brazil-Sergipe,25.0,77.0,79.0,23.0,72.0,73.0,22.0,73.0,72.0,0.0,0.0,0.0,10.0,8.0,8.0,105.86270141601562,0.26766345681916964,6.35480376501917,0.004392900019170269,1
2016-06-04,29.0,86.0,86.0,Colombia-Antioquia-Granada,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,248.09783935546875,0.3023843895219989,1.5341557695220058,0.19236622752200075,1
2016-06-04,29.0,86.0,86.0,Colombia-Cesar-San_Martin,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,4.8640546798706055,0.16055092892800096,1.2092512009279992,0.08317704092799988,1
2016-06-04,29.0,86.0,86.0,Colombia-Cundinamarca-Granada,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,248.09783935546875,0.3023843895219989,1.5341557695220058,0.19236622752200075,1
2016-06-04,29.0,86.0,86.0,Colombia-Meta-Acacias,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,82.53010559082031,0.04837412020999584,0.6496413722100101,0.00017359020999984227,1
2016-06-04,29.0,86.0,86.0,Colombia-Meta-Cabuyaro,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,4.747581958770752,0.6374425328904155,2.0094600096904283,0.06270636429041128,1
2016-06-04,29.0,86.0,86.0,Colombia-Meta-Castilla_La_Nueva,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,28.88602066040039,0.07775704645199805,0.9728653264520086,0.028031558452001244,1
2016-06-04,29.0,86.0,86.0,Colombia-Meta-Cubarral,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,9.168292999267578,0.1687668357779964,0.973234807778006,0.05088869777799868,1
2016-06-04,29.0,86.0,86.0,Colombia-Meta-Fuente_De_Oro,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,27.542747497558594,0.3796264024449991,1.8141064264450044,0.28741006044500106,1
2016-06-04,29.0,86.0,86.0,Colombia-Meta-Granada,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,248.09783935546875,0.3023843895219989,1.5341557695220058,0.19236622752200075,1
2016-06-04,29.0,86.0,86.0,Colombia-Meta-Mesetas,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,4.267838478088379,0.7128125416259993,1.7530632336260008,0.4381529876259984,1
2016-06-04,29.0,86.0,86.0,Colombia-Meta-Lejanias,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,8.06638240814209,0.5152889078450007,1.397806211845001,0.27594157784499923,1
2016-06-04,29.0,86.0,86.0,Colombia-Meta-Puerto_Lopez,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,5.9399776458740225,0.3687843000400066,1.791564868040021,1.849603999997417e-05,1
2016-06-04,29.0,86.0,86.0,Colombia-Meta-Puerto_Lleras,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,4.235280990600587,0.6831764571600021,2.648157073160016,0.6531353971600075,1
2016-06-04,29.0,86.0,86.0,Colombia-Meta-San_Carlos_De_Guaroa,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,23.26479339599609,0.2367894528500072,1.8025317688500269,0.2236112948499982,1
2016-06-04,29.0,86.0,86.0,Colombia-Meta-San_Juan_De_Arama,25.0,78.0,79.0,21.0,71.0,71.0,22.0,72.0,72.0,6.09,1.42,0.54,2.0,2.0,4.0,8.038856506347656,0.6387866905999967,1.9038684106000041,0.4181325505999982,1
